Word,Count
for,26
table,24
,9
SET,7
AUTO_INCREMENT,7
Indexes,7
!40101,7
Dumping,6
--------------------------------------------------------,6
structure,6
Table,6
data,6
`users`,4
`message`,4
`orders`,4
`cart`,4
`products`,4
`wishlist`,4
media,2
queries,2
dumped,2
fonts.googleapis.com/css2?family=Rubik:wght@300;400;500;600&display=swap');,2
tables,2
10.4.22-MariaDB,1
Dump,1
\11,\,1
at,1
CHARACTER_SET_RESULTS=@OLD_CHARACTER_SET_RESULTS,1
127.0.0.1,1
@OLD_CHARACTER_SET_CLIENT=@@CHARACTER_SET_CLIENT,1
COLLATION_CONNECTION=@OLD_COLLATION_CONNECTION,1
2022,1
Time:,1
8.1.2,1
Mar,1
PHP,1
\www.phpmyadmin.net/,1\,1
PM,1
Version:,1
https://www.phpmyadmin.net/,1
CHARACTER_SET_CLIENT=@OLD_CHARACTER_SET_CLIENT,1
@OLD_COLLATION_CONNECTION=@@COLLATION_CONNECTION,1
Database:,1
version,1
Generation,1
SQL,1
@OLD_CHARACTER_SET_RESULTS=@@CHARACTER_SET_RESULTS,1
Server,1
phpMyAdmin,1
version:,1
06:57,1
Host:,1
NAMES,1
`shop_db`,1
utf8mb4,1
5.1.1,1
