File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\priyaaaa\priya\project\shop_db.sql,258,113,0,0,50,7,95,175,8,22
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,1,1,0,0,0,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,1,1,0,0,0,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,1,1,6,0,0,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,188,139,5,1,49,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,84,54,15,4,30,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,42,34,3,1,8,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,105,73,20,5,32,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,137,100,28,3,37,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,131,91,39,8,40,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,110,73,32,6,37,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,80,51,13,4,29,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,113,84,26,6,29,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,164,130,39,7,34,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,5,3,1,0,2,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,80,53,17,3,27,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,41,33,0,0,8,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,64,56,7,1,8,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,149,106,39,8,43,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,90,65,27,4,25,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,11,7,5,0,4,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,82,57,10,3,25,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,79,63,23,4,16,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,141,103,43,9,38,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,132,93,40,8,39,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,130,93,42,9,37,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,128,92,34,8,36,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,57,56,0,0,1,1,0,1,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,31,30,0,0,1,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,5,4,0,0,1,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,2,1,0,0,1,0,0,0,0,0
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,568,463,376,0,104,1,1,4,0,1
C:\xampp\htdocs\soni\soni\project\LocMetrics.html,1122,937,757,0,184,1,1,4,0,1
